,dates,urate_eu
155,1988-12-31,0.05805344055368266
156,1989-01-31,0.06050568516613291
157,1989-02-28,0.05843536944538709
158,1989-03-31,0.056628416122647976
159,1989-04-30,0.05856148341528892
160,1989-05-31,0.05764313753267648
161,1989-06-30,0.05661355663388668
162,1989-07-31,0.05438907097085225
163,1989-08-31,0.06366033589117188
164,1989-09-30,0.060220340568735244
165,1989-10-31,0.06773053044514754
166,1989-11-30,0.05522299333203586
167,1989-12-31,0.06153425492166248
168,1990-01-31,0.0639258781953235
169,1990-02-28,0.05964151719970908
170,1990-03-31,0.056515153283827065
171,1990-04-30,0.05633381344892154
172,1990-05-31,0.059656642391265634
173,1990-06-30,0.05858354802387587
174,1990-07-31,0.061805369628267104
175,1990-08-31,0.05740642679658427
176,1990-09-30,0.062197706104631455
